1, 2.4539E-4, 2.4539E-4, Infinity, Infinity
91501, 0.015589319, 5.1536417266971215E-5, 4.196651806895669E-8, 1.4913483931482547E-8
93001, 0.015732246000000002, 5.158778955558204E-5, 4.1638578104606945E-8, 1.4786425850658732E-8
94501, 0.016346287, 5.3174194241593414E-5, 4.254730063899786E-8, 1.5098571064193048E-8
96001, 0.016440795, 5.306216132980458E-5, 4.2095731716112285E-8, 1.492806809748345E-8
97501, 0.016830174, 5.3899417410207534E-5, 4.240111483200163E-8, 1.5026213451608503E-8
99001, 0.018113299000000003, 5.756755246991838E-5, 4.491250845597337E-8, 1.5905641446780212E-8
100501, 0.020292423, 6.401013087681049E-5, 4.953237697583366E-8, 1.7530300245517392E-8
102001, 0.018592387000000002, 5.821473647762289E-5, 4.468659261416954E-8, 1.5805138254108967E-8
103501, 0.017742965, 5.515106748683117E-5, 4.200040407435577E-8, 1.4845670811092077E-8
105001, 0.018122777, 5.592783771191638E-5, 4.226031416748495E-8, 1.4928242120812307E-8
106501, 0.018377024000000002, 5.631166125559692E-5, 4.222373654439442E-8, 1.4906180240811042E-8
108001, 0.015135959000000001, 4.605704329440427E-5, 3.427323757440551E-8, 1.2092125218704051E-8
109501, 0.013410685, 4.052676321316529E-5, 2.9932815400942124E-8, 1.0554478932731104E-8
111001, 0.013368316000000002, 4.012483478380733E-5, 2.941778995724449E-8, 1.0366802218696218E-8
112501, 0.013764359, 4.103720746709793E-5, 2.986820252493988E-8, 1.0519451735957427E-8
114001, 0.013999840000000001, 4.1463765705811554E-5, 2.996241002236411E-8, 1.0546627645874767E-8
115501, 0.013901545000000001, 4.090441610974754E-5, 2.934918297129714E-8, 1.0324980615354707E-8
117001, 0.01652416, 4.8308617021067966E-5, 3.4419794926374914E-8, 1.2102115070841147E-8
118501, 0.01417618, 4.118112544465811E-5, 2.9139275893386503E-8, 1.0239879501512778E-8
120001, 0.014333094000000001, 4.13759059968519E-5, 2.907789474187616E-8, 1.0212812891070324E-8
121501, 0.014633938, 4.198278883421929E-5, 2.930614596782889E-8, 1.0287517746911367E-8
123001, 0.014715541, 4.195868916774548E-5, 2.909494116382547E-8, 1.0208029460305014E-8
124501, 0.015113496, 4.2833002202955376E-5, 2.9506488042049074E-8, 1.0347072357721235E-8
126001, 0.015916442, 4.483931765468502E-5, 3.068851502636286E-8, 1.0756086544108495E-8
127501, 0.015428056, 4.32070296651379E-5, 2.9382096681578202E-8, 1.0293012264626975E-8
129001, 0.016549327000000003, 4.607695795928775E-5, 3.113554667523684E-8, 1.0901851686576896E-8
130501, 0.015941719, 4.412942105703176E-5, 2.9633115888588412E-8, 1.0370695139287715E-8
132001, 0.015819249, 4.3540884923996487E-5, 2.905722035945433E-8, 1.0164219426724342E-8
133501, 0.015960785, 4.368295287242304E-5, 2.8973913001840458E-8, 1.0130225521482772E-8
135001, 0.016087683000000002, 4.3784965048926764E-5, 2.8866122777497856E-8, 1.0087764460051382E-8
136501, 0.016691093, 4.517694512178572E-5, 2.9605872342379574E-8, 1.0341447209870717E-8
138001, 0.01689707, 4.548521862783162E-5, 2.9631761655984802E-8, 1.034571028851086E-8
139501, 0.017043484, 4.56320223801256E-5, 2.955364778419217E-8, 1.0313727883998105E-8
141001, 0.017984247000000002, 4.789400577851257E-5, 3.083927331024453E-8, 1.0757534432281132E-8
142501, 0.017044796, 4.515260921321584E-5, 2.890774710061682E-8, 1.0079271332111799E-8
144001, 0.017495501, 4.610453321988775E-5, 2.935010813466607E-8, 1.0228997556538294E-8
145501, 0.017464965000000002, 4.578621366014443E-5, 2.898419226802853E-8, 1.009706614661425E-8
147001, 0.017472608, 4.557194756528318E-5, 2.868861880126321E-8, 9.989790354668363E-9
148501, 0.018103781000000003, 4.6979089800950894E-5, 2.941215863175027E-8, 1.023737068762562E-8
150001, 0.018438008000000002, 4.760657325917971E-5, 2.9643101910187964E-8, 1.031340300204935E-8
151501, 0.018623846, 4.784776121847514E-5, 2.9633057347226373E-8, 1.0305607303015826E-8
153001, 0.018338171, 4.688229717844942E-5, 2.888052335250731E-8, 1.0039750219359508E-8
154501, 0.019336241, 4.91933505139202E-5, 3.01444026095301E-8, 1.0474833935943087E-8
156001, 0.01880721, 4.761685226215237E-5, 2.9026013305491663E-8, 1.0082130798324318E-8
157501, 0.019246694, 4.849695640751832E-5, 2.9409626992387166E-8, 1.0211293179217336E-8
159001, 0.019445586, 4.876644613523912E-5, 2.942157685509891E-8, 1.0211399081299858E-8
160501, 0.019344396, 4.828545217467601E-5, 2.8983579530168137E-8, 1.0055441619025677E-8
162001, 0.019775845, 4.913333027915217E-5, 2.934428158916586E-8, 1.0176633821025444E-8
163501, 0.019825818000000002, 4.903101778846317E-5, 2.9137349870447317E-8, 1.0100989852234344E-8
165001, 0.019905829, 4.900461491718471E-5, 2.8977966675942164E-8, 1.004191783571943E-8
166501, 0.019937989, 4.886219009340172E-5, 2.8752473311749543E-8, 9.960025518322106E-9
168001, 0.021610053, 5.272297383442507E-5, 3.08739888815664E-8, 1.0690944145273418E-8
169501, 0.020545298, 4.9902960677552656E-5, 2.9082289398111254E-8, 1.006680236340745E-8
171001, 0.020975133, 5.072305446852127E-5, 2.9419524428166683E-8, 1.0179812098823037E-8
172501, 0.020620719000000003, 4.9648713052033966E-5, 2.8660543833189207E-8, 9.913595751342277E-9
174001, 0.021246061, 5.093338639300387E-5, 2.9264631460503513E-8, 1.0118915695481507E-8
175501, 0.021230401000000003, 5.067787541186641E-5, 2.8982815292790282E-8, 1.0017908837852445E-8
177001, 0.021687468, 5.154908860880311E-5, 2.9345540229706096E-8, 1.0139712133455946E-8
178501, 0.021920484, 5.188356533936725E-5, 2.9401322847569185E-8, 1.0155441185225339E-8
180001, 0.021933199, 5.1696902217739965E-5, 2.91631362771041E-8, 1.006968609437288E-8
181501, 0.023647822000000002, 5.550749604462103E-5, 3.117241300795603E-8, 1.0759776656573261E-8
183001, 0.02251539, 5.263234771143971E-5, 2.9426374859142337E-8, 1.0153646844662326E-8
184501, 0.022624063, 5.26709606357946E-5, 2.931813825298469E-8, 1.0112893620083338E-8
186001, 0.022883180000000003, 5.3058960491983324E-5, 2.940496384705881E-8, 1.0139458005812824E-8
187501, 0.023295081000000002, 5.379754168465668E-5, 2.968496145384646E-8, 1.0232620815557748E-8
189001, 0.023638345, 5.4373215370213636E-5, 2.987351714706423E-8, 1.0294239980057446E-8
190501, 0.024251554, 5.55636724963057E-5, 3.0397261751740634E-8, 1.0471313267532606E-8
192001, 0.024841159, 5.669178211064497E-5, 3.088307035229913E-8, 1.0635235633211503E-8
193501, 0.024023837000000003, 5.4613595034319466E-5, 2.9625957887193022E-8, 1.019906084053139E-8
195001, 0.024153671, 5.469715367823647E-5, 2.9547575151557575E-8, 1.0168851913494769E-8
196501, 0.024771769000000003, 5.588234717206057E-5, 3.00629248851904E-8, 1.0342957634054583E-8
198001, 0.024576253000000003, 5.5230881836458406E-5, 2.959046712187438E-8, 1.0177237173660637E-8
199501, 0.024123905, 5.401011115571066E-5, 2.8818524033326586E-8, 9.90867251039829E-9
201001, 0.02479388, 5.530257913606023E-5, 2.9388825687830266E-8, 1.010165955928058E-8
202501, 0.024754707, 5.501032417220677E-5, 2.9116180310810083E-8, 1.0004899287960143E-8
204001, 0.025271286, 5.5951430510161496E-5, 2.949631139394344E-8, 1.0132460315655973E-8
205501, 0.02505517, 5.52701170097624E-5, 2.9021910404878908E-8, 9.966510274471944E-9
207001, 0.025401278000000003, 5.583022085288359E-5, 2.9200927750367967E-8, 1.0025007688615251E-8
208501, 0.025734403000000003, 5.635857797745393E-5, 2.9362391949576533E-8, 1.0077468440591234E-8
210001, 0.026611557, 5.807103998013224E-5, 3.0137508205344156E-8, 1.0340470496796576E-8
211501, 0.027180824000000003, 5.9102575424180484E-5, 3.055501726838942E-8, 1.0480678828877815E-8
213001, 0.026450135000000003, 5.7310879309572E-5, 2.9515726342915816E-8, 1.0121275315253705E-8
214501, 0.026926908000000003, 5.813957140634329E-5, 2.9829105037129814E-8, 1.022581238734448E-8
216001, 0.027822296000000003, 5.986391090476658E-5, 3.059828124838143E-8, 1.0486520214591427E-8
217501, 0.02731209, 5.856313345549772E-5, 2.982161747386359E-8, 1.0217467204718731E-8
219001, 0.027876879, 5.956910856679554E-5, 3.0221371553059296E-8, 1.0351536728566479E-8
220501, 0.028238517, 6.0136286108868735E-5, 3.0396734881596066E-8, 1.0408714306793728E-8
222001, 0.029223723000000004, 6.202375812723647E-5, 3.123608562316735E-8, 1.069318637191583E-8
223501, 0.030530142000000003, 6.457866888439278E-5, 3.2404594844298064E-8, 1.109017443050056E-8
225001, 0.031436851, 6.627455380560539E-5, 3.313553130961153E-8, 1.1337252726134883E-8
226501, 0.031424608, 6.602901322706444E-5, 3.289440613378387E-8, 1.1251719430551506E-8
228001, 0.029321757, 6.140752792166316E-5, 3.048311421603918E-8, 1.0424133559196392E-8
229501, 0.028765965, 6.004635597854558E-5, 2.9701957594798556E-8, 1.0154307734180964E-8
231001, 0.033273914, 6.92304189588235E-5, 3.412448955971294E-8, 1.1663176201806174E-8
232501, 0.030268831000000003, 6.277449620714626E-5, 3.083423546761407E-8, 1.053586227137512E-8
234001, 0.031082627, 6.425528587386671E-5, 3.145208078376069E-8, 1.07441806156977E-8
235501, 0.032092199, 6.613069679782763E-5, 3.225847985999591E-8, 1.1016803770545844E-8
237001, 0.031297219, 6.428811021217968E-5, 3.125225182653264E-8, 1.0670422082964137E-8
238501, 0.031508536000000004, 6.451833075287594E-5, 3.125741743222141E-8, 1.0669466491206118E-8
240001, 0.032038178, 6.539752074569176E-5, 3.15762031882506E-8, 1.0775553718995486E-8
241501, 0.031168267000000003, 6.34239357990895E-5, 3.052036257428495E-8, 1.04126241859387E-8
243001, 0.030721921000000003, 6.232242414095676E-5, 2.989013119394051E-8, 1.0195062070181434E-8
244501, 0.031019810000000002, 6.27333982130512E-5, 2.998736295853922E-8, 1.0225689416389094E-8
246001, 0.032331689000000004, 6.518684415966321E-5, 3.105734190415989E-8, 1.0587942768469124E-8
247501, 0.032272718, 6.487047293106521E-5, 3.0805270834311886E-8, 1.049943711147959E-8
249001, 0.031512162, 6.315062525050101E-5, 2.989082711606804E-8, 1.018528756442364E-8
250501, 0.031251153000000004, 6.243977266131583E-5, 2.9458624668236182E-8, 1.0035589581975825E-8
252001, 0.031335381, 6.242144924069668E-5, 2.9355152473770984E-8, 9.997939503348115E-9
253501, 0.031758504, 6.307687922529193E-5, 2.9568438648684593E-8, 1.0068179829450514E-8
255001, 0.031249410000000002, 6.188293172297858E-5, 2.8916454276349063E-8, 9.843842991710664E-9
256501, 0.031961725, 6.31081834322009E-5, 2.939571092492328E-8, 1.000463679741194E-8
258001, 0.031714471, 6.2437682803718E-5, 2.8991939272069252E-8, 9.864906858007398E-9
259501, 0.031741232, 6.230949931457346E-5, 2.8841970456036247E-8, 9.81159584467178E-9
261001, 0.032123348, 6.287814442425739E-5, 2.90147240257949E-8, 9.868083051678298E-9
262501, 0.032088492, 6.263020407170367E-5, 2.8811005050028136E-8, 9.796546639532183E-9
264001, 0.034566797, 6.727541000343567E-5, 3.0852793608393625E-8, 1.0488417333597277E-8
265501, 0.033621766000000004, 6.525104039145696E-5, 2.9832988251642235E-8, 1.0139433543255688E-8
267001, 0.033913764, 6.5632591046908E-5, 2.991627884112122E-8, 1.01654492899656E-8
268501, 0.034706309000000005, 6.697850897112891E-5, 3.043754709440806E-8, 1.0340256652842204E-8
270001, 0.034581816, 6.655261267675545E-5, 3.015315774136499E-8, 1.0241361949401412E-8
271501, 0.034966577000000006, 6.710693491473804E-5, 3.0313486482671234E-8, 1.0293537032061927E-8
273001, 0.035450193000000005, 6.784791170211108E-5, 3.0557158553981125E-8, 1.0373996763759214E-8
274501, 0.035838731000000006, 6.840386765131396E-5, 3.0716537477623116E-8, 1.0425823367227978E-8
276001, 0.035831478, 6.820392918386635E-5, 3.053677407141695E-8, 1.0362553454114721E-8
277501, 0.036397078, 6.909303071961966E-5, 3.084445719750103E-8, 1.0464701284081728E-8
279001, 0.037767135, 7.150084275859219E-5, 3.1826586997729556E-8, 1.0795590317549943E-8
280501, 0.036580612000000005, 6.906909412922439E-5, 3.065529530126911E-8, 1.039606518319635E-8
282001, 0.038160023, 7.185935316197727E-5, 3.18020142593632E-8, 1.078265762323728E-8
283501, 0.038615466, 7.25243729538866E-5, 3.20045378133691E-8, 1.084903158460688E-8
285001, 0.036754477, 6.884732255594094E-5, 3.029545554532187E-8, 1.0267522187534482E-8
286501, 0.037382775, 6.984068104925467E-5, 3.06456109942301E-8, 1.0384024718688846E-8
288001, 0.038547708, 7.182928818382665E-5, 3.142948263481483E-8, 1.0647421291340185E-8
289501, 0.038829186, 7.216610271873085E-5, 3.148844168879788E-8, 1.0665191508082117E-8
291001, 0.038162797000000005, 7.074454479891827E-5, 3.0782185438030674E-8, 1.0423839684074753E-8
292501, 0.038033194, 7.032328037227441E-5, 3.051409237422864E-8, 1.0330944030737931E-8
294001, 0.039187909, 7.227326705290491E-5, 3.127375755001484E-8, 1.0585987713981765E-8
295501, 0.039200432, 7.21126367675669E-5, 3.1118663256311744E-8, 1.0531361164629009E-8
297001, 0.03794026, 6.961796863058637E-5, 2.996016208539706E-8, 1.0137257188880088E-8
298501, 0.037090157000000006, 6.788686858904703E-5, 2.9135860946837948E-8, 9.856378419686484E-9
300001, 0.038892294, 7.100717077789007E-5, 3.039271577446947E-8, 1.0279516751431948E-8
301501, 0.039933255, 7.272610572387176E-5, 3.104479143794121E-8, 1.0497988134621397E-8
303001, 0.039994189, 7.26565653224781E-5, 3.0932158417382366E-8, 1.0457843962774497E-8
304501, 0.039490947000000005, 7.156541379089437E-5, 3.0386541575523916E-8, 1.027136734865078E-8
306001, 0.038504688, 6.960688289672713E-5, 2.9476690273419374E-8, 9.961877849871527E-9
307501, 0.040366197, 7.279382983995247E-5, 3.0745050461337055E-8, 1.0388519430043926E-8
309001, 0.039280462, 7.066374409834111E-5, 2.9767132654514647E-8, 1.0056152308119262E-8
310501, 0.039486588, 7.086276706677964E-5, 2.9773078054924514E-8, 1.0056234817951673E-8
312001, 0.0401598, 7.189746007592578E-5, 3.012936292651184E-8, 1.0174636000290357E-8
313501, 0.039768026000000005, 7.10255440113017E-5, 2.9687059834056944E-8, 1.002337112767496E-8
315001, 0.039996584, 7.126346496410941E-5, 2.9709898444078734E-8, 1.0029191063363183E-8
316501, 0.041008180000000005, 7.289251784835318E-5, 3.0311270595408786E-8, 1.0230277484015566E-8
318001, 0.040845094000000005, 7.24311961003276E-5, 3.00427094026454E-8, 1.0137743965911095E-8
319501, 0.041817838, 7.398189732628666E-5, 3.060810186506313E-8, 1.0326614884367178E-8
321001, 0.040661871, 7.176854894985458E-5, 2.961745828675989E-8, 9.990544003697547E-9
322501, 0.040947757, 7.210486773489686E-5, 2.968151308833446E-8, 1.0010310762513978E-8
324001, 0.041636308000000004, 7.314742414064305E-5, 3.003539987085677E-8, 1.0127809258680069E-8
325501, 0.047060855000000006, 8.248664686022253E-5, 3.378594025175551E-8, 1.1390402537513766E-8
327001, 0.05851544400000001, 1.0232834833448251E-4, 4.1809146983501735E-8, 1.4092749384813454E-8
328501, 0.045891694000000004, 8.006924642172621E-5, 3.263390339727174E-8, 1.0998037420142623E-8
330001, 0.042169667, 7.340785661398253E-5, 2.984548756503975E-8, 1.005650281331247E-8
331501, 0.042223198, 7.33345619955187E-5, 2.9742848316187154E-8, 1.0020130333301079E-8
333001, 0.04362759, 7.560289993583297E-5, 3.0588265477747425E-8, 1.0303115186229466E-8
334501, 0.04242179, 7.334833832408156E-5, 2.960424560508708E-8, 9.969903777011038E-9
336001, 0.042983222, 7.415299248278356E-5, 2.9856882593006194E-8, 1.0053217133096102E-8
337501, 0.042973394000000005, 7.397110787637014E-5, 2.9712189456827056E-8, 1.0002746416402694E-8
339001, 0.043666723000000005, 7.49980741709009E-5, 3.005273837997803E-8, 1.0115631925694004E-8
340501, 0.044314297, 7.594246124218437E-5, 3.0358801715889126E-8, 1.0216880596880126E-8
342001, 0.045357292, 7.75592194447531E-5, 3.093171331243372E-8, 1.0407891348727339E-8
343501, 0.045725682000000004, 7.801824717550616E-5, 3.104143968610846E-8, 1.0443018894615612E-8
345001, 0.044089837, 7.506341458519889E-5, 2.9795700070395172E-8, 1.0022212053542673E-8
346501, 0.044455381, 7.552175792520491E-5, 2.9907590891317974E-8, 1.005813723989567E-8
348001, 0.047291868, 8.016710908958695E-5, 3.167335293150607E-8, 1.0650172506371602E-8
349501, 0.047721423000000006, 8.072149079615895E-5, 3.1818510342862596E-8, 1.0697178994343147E-8
351001, 0.047712326000000006, 8.053347000558826E-5, 3.167118194574116E-8, 1.0645862339039749E-8
352501, 0.047747822, 8.042172597479513E-5, 3.15546043291135E-8, 1.0604905521865313E-8
354001, 0.047070121, 7.911212868196933E-5, 3.09697838300888E-8, 1.0406628735327197E-8
355501, 0.049728124000000005, 8.34029980623758E-5, 3.257517430567776E-8, 1.0944269689650887E-8
357001, 0.047183585, 7.896892374205472E-5, 3.077339981215848E-8, 1.033722560702914E-8
358501, 0.049140753, 8.207230321790952E-5, 3.191054434455545E-8, 1.0717451543978205E-8
360001, 0.049052147000000004, 8.175346478693332E-5, 3.171510926842657E-8, 1.0650074579649908E-8
361501, 0.049278571, 8.19602650129168E-5, 3.1724145954243585E-8, 1.0651378433232582E-8
363001, 0.049583663, 8.22971312153731E-5, 3.178351143042282E-8, 1.0669584460316798E-8
364501, 0.049836717, 8.254676601714276E-5, 3.180913487962169E-8, 1.0676466778416185E-8
366001, 0.047294923, 7.817598946042446E-5, 3.005825625874985E-8, 1.0087181925555308E-8
367501, 0.047977985, 7.914304247939537E-5, 3.0363070889085626E-8, 1.0187847767341471E-8
369001, 0.047203001, 7.770622993771046E-5, 2.9746458553995934E-8, 9.979367324673768E-9
370501, 0.047763001000000006, 7.846878243569076E-5, 2.997275828871625E-8, 1.0053695792378655E-8
372001, 0.047637345000000005, 7.81043990189234E-5, 2.9768675972966936E-8, 9.983668113531388E-9
373501, 0.051507559, 8.428010814651556E-5, 3.205288768685127E-8, 1.0748049620159795E-8
375001, 0.049868727, 8.14351816012666E-5, 3.090409264238319E-8, 1.0361214789003239E-8
376501, 0.047788177, 7.788205396835233E-5, 2.9492184412357185E-8, 9.886306968295329E-9
378001, 0.049005459, 7.970727958878747E-5, 3.0118745845515125E-8, 1.0094778496166768E-8
379501, 0.048534898, 7.878574733628587E-5, 2.970705599023127E-8, 9.955259195909276E-9
381001, 0.048329512000000005, 7.829776262157593E-5, 2.9460359626897044E-8, 9.871072294580787E-9
382501, 0.048820743, 7.893835960095713E-5, 2.9638565033175285E-8, 9.929264405932264E-9
384001, 0.048860728000000006, 7.884855809416118E-5, 2.9542472193472125E-8, 9.895565816717863E-9
385501, 0.049820678, 8.024110098495218E-5, 3.000112589277679E-8, 1.004767366241604E-8
387001, 0.049698809000000004, 7.988954315249692E-5, 2.980724037970922E-8, 9.981232793491541E-9
388501, 0.050217541000000004, 8.056740438041461E-5, 2.9997557744198855E-8, 1.0043452574529568E-8
390001, 0.050226047, 8.042593868026366E-5, 2.988277092810479E-8, 1.0003523395615556E-8
391501, 0.057701197, 9.221857026838521E-5, 3.419359746027074E-8, 1.144490471992195E-8
393001, 0.05008353, 7.989104531377519E-5, 2.9561716701371622E-8, 9.893103770286241E-9
394501, 0.050046631, 7.968026927539442E-5, 2.942326785256579E-8, 9.845314883761693E-9
396001, 0.050395214, 8.008315092835048E-5, 2.951163234238881E-8, 9.873428634267382E-9
397501, 0.051613728000000005, 8.186459469618177E-5, 3.010672658861278E-8, 1.00710467710271E-8
399001, 0.051025756000000005, 8.077974090925213E-5, 2.964753376057729E-8, 9.915993186758265E-9
400501, 0.05115078, 8.08258830774122E-5, 2.9604558849883323E-8, 9.90017954440722E-9
402001, 0.051479998000000006, 8.119419019456963E-5, 2.96796250355471E-8, 9.923844962156813E-9
403501, 0.051739554, 8.145174126727754E-5, 2.9714089264773304E-8, 9.9339351602334E-9
405001, 0.051885769000000005, 8.153051958283025E-5, 2.9683431646296955E-8, 9.92225974167705E-9
406501, 0.052253016000000006, 8.195596219931794E-5, 2.9778959904897813E-8, 9.95276717268133E-9
408001, 0.053513518, 8.377855951281555E-5, 3.0380865209533464E-8, 1.0152489280967406E-8
409501, 0.055144785, 8.617414130316142E-5, 3.118786681069177E-8, 1.0420688153727632E-8
411001, 0.053705287000000004, 8.377136701846391E-5, 3.02586064414043E-8, 1.0108767808119428E-8
412501, 0.054805851, 8.533249084148795E-5, 3.076206534227135E-8, 1.0275515049386737E-8
414001, 0.056403194000000004, 8.766031013864285E-5, 3.153950901553739E-8, 1.0533727704460597E-8
415501, 0.053642260000000004, 8.321871972700551E-5, 2.988318624320329E-8, 9.979145354333916E-9
417001, 0.054424687000000006, 8.428055597060499E-5, 3.020579529824169E-8, 1.0085472397784447E-8
418501, 0.055266544, 8.54307182224331E-5, 3.055884923899641E-8, 1.0201939018924598E-8
420001, 0.05890652700000001, 9.089463629948822E-5, 3.245071510899766E-8, 1.083203334665612E-8
421501, 0.055825612000000004, 8.598727541609179E-5, 3.063982502901852E-8, 1.0226151376531756E-8
423001, 0.056242824000000004, 8.647616506183116E-5, 3.075513024926838E-8, 1.0263227490693208E-8
424501, 0.061374051000000006, 9.419881316768649E-5, 3.343786911926228E-8, 1.1156954291297607E-8
426001, 0.0640893, 9.819292991385345E-5, 3.4789511591215745E-8, 1.1606366834222968E-8
427501, 0.057432664, 8.78396089950179E-5, 3.106249764875132E-8, 1.0361567461653817E-8
429001, 0.056036327000000004, 8.55540372887495E-5, 3.0197239945517656E-8, 1.007158175153488E-8
430501, 0.057123174000000006, 8.70613201624805E-5, 3.067154313851617E-8, 1.022839817819638E-8
